Journal Title,Topic Area,Impact Factor,Year Updated,URL
Cognition and Emotion,Emotion,2.418,2015,[Journal Website](http://www.tandf.co.uk/journals/authors/pcemauth.asp)
Emotion,Emotion,3.383,2014,[Journal Website](http://www.apa.org/pubs/journals/emo/)
Cognition and Emotion,Emotion,,,[Journal Website](http://www.tandfonline.com/loi/pcem20)
Motivation and Emotion,Emotion,1.744,2014,[Journal Website](http://www.springerWebsite.com/content/105583/)
Acta Psychologica,General,2.248,2014,
Evolution and Human Behavior,General,3.13,2014,
Humor,General,0.467,2015,
JEP: General,General,4.07,2015,[Journal Website](http://www.apa.org/journals/xge/submission.html)
Psychological Science,General,4.94,2014,[Journal Website](http://www.psychologicalscience.org/journals/index.cfm?journal=ps&content=ps/submissions)
Psychology of Women Quarterly,General,2.397,2015,
Behavior and Brain Sciences,neuro/physio,20.77,2014,
Behavioral and Brain Sciences (BBS)   ,neuro/physio,20.41,2015,[Journal Website](http://journals.cambridge.org/action/displayJournal?jid=BBS)
Behaviour and Brain Research,neuro/physio,3.002,2015,
Biological Psychology,neuro/physio,3.234,2015,
Brain,neuro/physio,10.1,2015,
Brain & Cognition,neuro/physio,2.339,2015,[Journal Website](http://www.elsevier.com/wps/find/journaldescription.cws_home/622798/description#description)
Brain Research,neuro/physio,2.561,2015,[Journal Website](http://www.elsevier.com/wps/find/journaldescription.cws_home/622287/authorinstructions)
Brain Research,neuro/physio,2.561,2015,[Journal Website](http://www.elsevier.com/wps/find/journaldescription.cws_home/622287/description#description)
Cognitive Affective Behavioral Neuroscience,neuro/physio,2.886,2015,[Journal Website](http://www.psychonomic.org/CABN/manuscript.htm)
Cognitive and Behavioral Neurology,neuro/physio,1.185,2017,[Journal Website](http://www.neuneubeneu.com/pt/re/cbneuro/home.htm)
Cognitive Neuropsychology,neuro/physio,2.381,2016,
Experimental Brain Research,neuro/physio,2.057,2015,[Journal Website](http://www.springer.com/west/home/biomed/neurosciences?SGWID=4-131-70-1166829-0&detailsPage=contentItemPage&contentItemId=150113&CIPageCounter=CI_FOR_AUTHORS_AND_EDITORS_PAGE1)
Human Brain Mapping,neuro/physio,5.969,2015,
Journal of Cognitive Neuroscience,neuro/physio,3.559,2015,[Journal Website](http://jocn.mitpress.org/misc/ifora.shtml)
Journal of Neuroscience,neuro/physio,5.924,2015,[Journal Website](http://www.jneurosci.org/misc/itoa.shtml)
Laterality,neuro/physio,1.239,2015,[Journal Website](http://www.tandf.co.uk/journals/authors/platauth.asp)
Nature,neuro/physio,38.13,2015,[Journal Website](http://www.nature.com/nature/index.html)
Nature Neuroscience,neuro/physio,16.72,2015,
NeuroImage,neuro/physio,6.357,2014,[Journal Website](http://www.elsevier.com/wps/find/journaldescription.cws_home/622925/description)
Neuron,neuro/physio,13.97,2015,[Journal Website](http://www.neuron.org/)
Neuropsychologica,neuro/physio,2.989,2015,
Psychophysiology,neuro/physio,3.074,2015,[Journal Website](http://www.blackwellpublishing.com/submit.asp?ref=0048-5772&site=1)
Science,neuro/physio,34.66,2015,
Social Cognitive and Affective Neuroscience,neuro/physio,5.101,2015,
Social Neuroscience,neuro/physio,2.778,2015,[Journal Website](http://www.psypress.com/socialneuroscience/)
Humor,Other,0.467,2015,
PLoS ONE,Other,3.234,2014,
Quarterly Journal of Experimental Psychology,Other,2.13,2015,
American psychologist,Review,5.454,2015,
Annual Review of Psychology,Review,19.08,2015,
Personality and Social Psychology Review,Review,7.571,2015,[Journal Website](http://psr.sagepub.com/)
Psychological Bulletin,Review,14.75,2014,
Psychological review,Review,7.581,2015,
Pyschological Inquiry,Review,10.77,2015,
Social & Personality Psychology Compass,Review,,,
Trends in Cognitive Sciences,Review,17.85,2015,
Advances in Experimental Social Psychology,Social and Personality,2.5,2015,
Archives of Sexual Behavior,Social and Personality,2.704,2015,[Journal Website](http://www.springer.com/west/home?SGWID=4-102-70-35506865-0&changeHeader=true&SHORTCUT=www.springer.com/journal/10508)
British Journal of Social Psychology,Social and Personality,1.798,2015,[Journal Website](http://www.bps.org.uk/publications/journals/bjsp/bjsp_home.cfm)
European Journal of SP,Social and Personality,1.921,2015,[Journal Website](http://www3.interscience.wiley.com/cgi-bin/jhome/1823/)
Journal of Applied Social Psychology,Social and Personality,1.006,2015,
Journal of Cross Cultural Psychology,Social and Personality,1.795,2015,
Journal of Experimental Social Psychology,Social and Personality,2.5,2015,[Journal Website](http://129.35.76.177/wps/find/journaldescription.cws_home/622874/authorinstructions?navopenmenu=1)
Journal of Nonverbal Behavior,Social and Personality,1.365,2015,
Journal of Personality and Social Psychology,Social and Personality,4.736,2015,[Journal Website](http://www.apa.org/journals/psp/)
Journal of Social and Clinical Psychology,Social and Personality,1.222,2015,
Personality and Individual Differences,Social and Personality,1.946,2015,[Journal Website](http://www.elsevier.com/wps/find/journaldescription.cws_home/603/authorinstructions)
Personality and Social Psychology Bulletin,Social and Personality,2.56,2015,[Journal Website](http://www.sagepub.com/journalsProdDesc.nav?prodId=Journal200808)
Quarterly Journal of Experimental Psychology,Social and Personality,2.13,2015,[Journal Website](http://www.tandf.co.uk/journals/journal.asp?issn=1747-0218&Websitetype=44)
Sex roles,Social and Personality,1.582,2015,[Journal Website](http://www.springer.com/west/home/psychology?SGWID=4-10126-70-35574530-0&teaserId=265706&CENTER_ID=134973)
Social Cognition,Social and Personality,1.286,2015,[Journal Website](http://www.guilford.com/cgi-bin/cartscript.cgi?page=pr/jnco.htm&dir=periodicals/per_psych&cart_id=)
Social Psychological and Personality Science,Social and Personality,2.325,2015,[Journal Website](http://www.sagepub.com/journalsProdDesc.nav?prodId=Journal201952)
Social Psychology Quarterly,Social and Personality,1.457,2015,
Cognition,Vision/Cognition,3.411,2015,[Journal Website](http://www.elsevier.com/wps/find/journaldescription.cws_home/505626/authorinstructions)
Cognitive Psychology,Vision/Cognition,4.537,2015,
Cogntive processing,Vision/Cognition,1.34,2015,[Journal Website](http://www.springer.com/west/home/biomed/neurosciences?SGWID=4-131-70-1180641-0&detailsPage=contentItemPage&contentItemId=445109&CIPageCounter=CI_FOR_AUTHORS_AND_EDITORS_PAGE0)
JEP:  HPP,Vision/Cognition,3.358,2014,
learning and memory,Vision/Cognition,2.906,2015,
Memory ,Vision/Cognition,1.976,2015,
Memory and Cognition,Vision/Cognition,2.457,2014,[Journal Website](http://www.psychonomic.org/MC/manuscript.htm)
Perception,Vision/Cognition,0.917,2015,
Psychonomic Bulletin and Review,Vision/Cognition,3.08,2015,[Journal Website](http://www.psychonomic.org/PBR/manuscript.htm)
Visual Cognition,Vision/Cognition,1.433,2015,